name	born	died	url	era
Teresa Carreño	1853	1917	https://en.wikipedia.org/wiki/Teresa_Carre%C3%B1o	Romantic-era
Julián Carrillo	1875	1965	https://en.wikipedia.org/wiki/Juli%C3%A1n_Carrillo	Romantic-era
Antonio Casimir Cartellieri	1772	1807	https://en.wikipedia.org/wiki/Antonio_Casimir_Cartellieri	Classical-era
Ferdinando Carulli	1770	1841	https://en.wikipedia.org/wiki/Ferdinando_Carulli	Classical-Romantic
João de Sousa Carvalho	1745	1799	https://en.wikipedia.org/wiki/Jo%C3%A3o_de_Sousa_Carvalho	Classical-era
Bellerofonte Castaldi	1581	1649	https://en.wikipedia.org/wiki/Bellerofonte_Castaldi	Renaissance-Baroque
Luigi Castellacci	1797	1845	https://en.wikipedia.org/wiki/Luigi_Castellacci	Classical-Romantic
Rafael Antonio Castellanos	1725	1791	https://en.wikipedia.org/wiki/Rafael_Antonio_Castellanos	Baroque-Classical
Dario Castello	1590	1658	https://en.wikipedia.org/wiki/Dario_Castello	Renaissance-Baroque
Maddalena Casulana	1566	1583	https://en.wikipedia.org/wiki/Maddalena_Casulana	Renaissance
Alfredo Catalani	1854	1893	https://en.wikipedia.org/wiki/Alfredo_Catalani	Romantic-era
Diomedes Cato	1565	1618	https://en.wikipedia.org/wiki/Diomedes_Cato	Renaissance-Baroque
Georgy Catoire	1861	1926	https://en.wikipedia.org/wiki/Georgy_Catoire	Romantic-era
Francesco Cavalli	1602	1676	https://en.wikipedia.org/wiki/Francesco_Cavalli	Baroque
Girolamo Cavazzoni	1525	1577	https://en.wikipedia.org/wiki/Girolamo_Cavazzoni	Renaissance
Maurizio Cazzati	1616	1678	https://en.wikipedia.org/wiki/Maurizio_Cazzati	Baroque
Rodrigo de Ceballos	1530	1581	https://en.wikipedia.org/wiki/Rodrigo_de_Ceballos	Renaissance
Carlo Cecere	1706	1761	https://en.wikipedia.org/wiki/Carlo_Cecere	Baroque-Classical
Francesco Cellavenia	1538	1563	https://en.wikipedia.org/wiki/Francesco_Cellavenia	Renaissance
Joan Cererols	1618	1680	https://en.wikipedia.org/wiki/Joan_Cererols	Baroque
Bohuslav Matěj Černohorský	1684	1742	https://en.wikipedia.org/wiki/Bohuslav_Mat%C4%9Bj_%C4%8Cernohorsk%C3%BD	Baroque
Pierre Certon	1529	1572	https://en.wikipedia.org/wiki/Pierre_Certon	Renaissance
Giacobbe Cervetto	1682	1783	https://en.wikipedia.org/wiki/Giacobbe_Cervetto	Baroque-Classical
Giovanni Martino Cesare	1590	1667	https://en.wikipedia.org/wiki/Giovanni_Martino_Cesare	Baroque
Johannes Cesaris	1406	1417	https://en.wikipedia.org/wiki/Johannes_Cesaris	url-Medieval
Sulpitia Cesis	1577	1619	https://en.wikipedia.org/wiki/Sulpitia_Cesis	Renaissance-Baroque
Antonio Cesti	1623	1669	https://en.wikipedia.org/wiki/Antonio_Cesti	Baroque
Emmanuel Chabrier	1841	1894	https://en.wikipedia.org/wiki/Emmanuel_Chabrier	Romantic-era
George Whitefield Chadwick	1854	1931	https://en.wikipedia.org/wiki/George_Whitefield_Chadwick	Romantic-era
Ippolito Chamaterò	1540	1592	https://en.wikipedia.org/wiki/Ippolito_Chamater%C3%B2	Renaissance
Cécile Chaminade	1857	1944	https://en.wikipedia.org/wiki/C%C3%A9cile_Chaminade	Romantic-era
Jacques Champion de Chambonnières	1602	1672	https://en.wikipedia.org/wiki/Jacques_Champion_de_Chambonni%C3%A8res	Baroque
Nicolas Champion	1475	1533	https://en.wikipedia.org/wiki/Nicolas_Champion	Renaissance
Gustave Charpentier	1860	1956	https://en.wikipedia.org/wiki/Gustave_Charpentier	Romantic-era
Lambert Chaumont	1635	1712	https://en.wikipedia.org/wiki/Lambert_Chaumont	Baroque
Ernest Chausson	1855	1899	https://en.wikipedia.org/wiki/Ernest_Chausson	Romantic-era
Nicolas Chédeville	1705	1782	https://en.wikipedia.org/wiki/Nicolas_Ch%C3%A9deville	Baroque-Classical
Fortunato Chelleri	1690	1757	https://en.wikipedia.org/wiki/Fortunato_Chelleri	Baroque-Classical
Luigi Cherubini	1760	1842	https://en.wikipedia.org/wiki/Luigi_Cherubini	Classical-Romantic
Thomas Chilcot	1707	1766	https://en.wikipedia.org/wiki/Thomas_Chilcot	Baroque-Classical
William Child	1606	1697	https://en.wikipedia.org/wiki/William_Child	Renaissance-Baroque
Frédéric Chopin	1810	1849	https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin	Romantic-era
Andreas Chyliński	1590	1635	https://en.wikipedia.org/wiki/Andreas_Chyli%C5%84ski	Renaissance-Baroque
Mikalojus Konstantinas Čiurlionis	1875	1911	https://en.wikipedia.org/wiki/Mikalojus_Konstantinas_%C4%8Ciurlionis	Romantic-era
Johannes Ciconia	1370	1412	https://en.wikipedia.org/wiki/Johannes_Ciconia	url-Medieval
Ippolito Ciera	1546	1561	https://en.wikipedia.org/wiki/Ippolito_Ciera	Renaissance
Antonio Cifra	1584	1629	https://en.wikipedia.org/wiki/Antonio_Cifra	Renaissance-Baroque
Francesco Cilea	1866	1950	https://en.wikipedia.org/wiki/Francesco_Cilea	Romantic-era
Giovanni Paolo Cima	1570	1622	https://en.wikipedia.org/wiki/Giovanni_Paolo_Cima	Renaissance-Baroque
Domenico Cimarosa	1749	1801	https://en.wikipedia.org/wiki/Domenico_Cimarosa	Classical-era
Giovanni Battista Cirri	1724	1808	https://en.wikipedia.org/wiki/Giovanni_Battista_Cirri	Classical-era
