name	born	died	url
Amalia Catharina	1640	1697	https://en.wikipedia.org/wiki/Amalia_Catharina
Amalie	1794	1870	https://en.wikipedia.org/wiki/Princess_Amalie_of_Saxony
Miguel de Ambiela	1655	1733	https://en.wikipedia.org/wiki/Miguel_de_Ambiela
August Wilhelm Ambros	1816	1876	https://en.wikipedia.org/wiki/August_Wilhelm_Ambros
Bjarne Amdahl	1903	1968	https://en.wikipedia.org/wiki/Bjarne_Amdahl
René Amengual	1911	1954	https://en.wikipedia.org/wiki/Ren%C3%A9_Amengual
Emanuel Amiran	1909	1993	https://en.wikipedia.org/wiki/Emanuel_Amiran-Pougatchov
Elias Nikolaus Ammerbach	1530	1597	https://en.wikipedia.org/wiki/Elias_Ammerbach
John Amner	1579	1641	https://en.wikipedia.org/wiki/John_Amner
Cataldo Amodei	1650	1695	https://en.wikipedia.org/wiki/Cataldo_Amodei
Juan de Anchieta	1462	1523	https://en.wikipedia.org/wiki/Juan_de_Anchieta
Johann Andreas Amon	1763	1825	https://en.wikipedia.org/wiki/Johann_Andreas_Amon
Fritz Andersen	1829	1910	https://en.wikipedia.org/wiki/Fritz_Andersen
Joachim Andersen	1847	1909	https://en.wikipedia.org/wiki/Joachim_Andersen
Leroy Anderson	1908	1975	https://en.wikipedia.org/wiki/Leroy_Anderson
Tom Anderson	1910	1991	https://en.wikipedia.org/wiki/Tom_Anderson_(fiddler)
Johann André	1741	1799	https://en.wikipedia.org/wiki/Johann_Andr%C3%A9
Elfrida Andrée	1841	1929	https://en.wikipedia.org/wiki/Elfrida_Andr%C3%A9e
Johann Anton André	1775	1842	https://en.wikipedia.org/wiki/Johann_Anton_Andr%C3%A9
Elfrida Andrée	1841	1929	https://en.wikipedia.org/wiki/Elfrida_Andr%C3%A9e
Iosif Andriasov	1933	2000	https://en.wikipedia.org/wiki/Iosif_Andriasov
Hendrik Andriessen	1892	1981	https://en.wikipedia.org/wiki/Hendrik_Andriessen
Jurriaan Andriessen	1925	1996	https://en.wikipedia.org/wiki/Jurriaan_Andriessen_(composer)
Willem Andriessen	1887	1964	https://en.wikipedia.org/wiki/Willem_Andriessen
José Escolástico Andrino	1817	1862	https://en.wikipedia.org/wiki/Jos%C3%A9_Escol%C3%A1stico_Andrino
Felice Anerio	1560	1614	https://en.wikipedia.org/wiki/Felice_Anerio
Giovanni Francesco Anerio	1567	1630	https://en.wikipedia.org/wiki/Giovanni_Francesco_Anerio
Pasquale Anfossi	1727	1797	https://en.wikipedia.org/wiki/Pasquale_Anfossi
Gasparo Angiolini	1731	1803	https://en.wikipedia.org/wiki/Gasparo_Angiolini
Jean	1629	1691	https://en.wikipedia.org/wiki/Jean-Henri_d%27Anglebert
Giovanni Animuccia	1520	1571	https://en.wikipedia.org/wiki/Giovanni_Animuccia
